x-axis,1,2,F1
second,Volt,Ampere,Watt
+221.17500E-03,+233.16583443E+00,-1.76758792E+00,-412.20092773E+00
+221.20000E-03,+241.20603561E+00,-1.72864320E+00,-416.71752930E+00
+221.22500E-03,+244.97487993E+00,-1.68844219E+00,-416.71752930E+00
+221.25000E-03,+249.24623680E+00,-1.68844219E+00,-420.62377930E+00
+221.27500E-03,+249.49749308E+00,-1.64949747E+00,-421.04721068E+00
+221.30000E-03,+259.54774456E+00,-1.64824119E+00,-423.85864258E+00
+221.32500E-03,+265.32663918E+00,-1.60804018E+00,-431.42890931E+00
+221.35000E-03,+271.60804635E+00,-1.60804018E+00,-426.42211914E+00
+221.37500E-03,+273.36684036E+00,-1.56783918E+00,-428.37524414E+00
+221.40000E-03,+279.14573497E+00,-1.53894471E+00,-428.37524414E+00
+221.42500E-03,+281.40704155E+00,-1.52763817E+00,-428.97605896E+00
+221.45000E-03,+289.44724274E+00,-1.49623114E+00,-429.65698242E+00
+221.47500E-03,+297.23618764E+00,-1.48743717E+00,-430.69076537E+00
+221.50000E-03,+297.48744392E+00,-1.48743717E+00,-442.29125977E+00
+221.52500E-03,+297.48744392E+00,-1.44723617E+00,-442.29125977E+00
+221.55000E-03,+305.52764511E+00,-1.43844220E+00,-439.38827514E+00
+221.57500E-03,+305.52764511E+00,-1.40703516E+00,-441.54167176E+00
+221.60000E-03,+313.56784630E+00,-1.40703516E+00,-440.94848633E+00
